"Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP"
"1,Los Angeles Rams,9,220,325,67.7,2667,23,7.1,7,2.2,75,8.5,9.0,12.6,296.3,108.7,13,109,7.9,8.3,3.8,2,2,136.05"
"2,Tampa Bay Buccaneers,8,236,350,67.4,2620,25,7.1,5,1.4,62,7.7,8.5,11.5,327.5,108.3,12,86,7.2,8.0,3.3,2,2,105.69"
"3,Kansas City Chiefs,9,247,378,65.3,2529,20,5.3,10,2.6,75,6.9,6.8,10.6,281.0,92.0,17,87,6.4,6.3,4.3,2,2,80.61"
"4,Las Vegas Raiders,8,210,312,67.3,2441,13,4.2,7,2.2,61,8.2,8.0,12.2,305.1,97.0,18,124,7.4,7.2,5.5,1,2,77.78"
"5,Arizona Cardinals,9,209,283,73.9,2393,18,6.4,7,2.5,77,9.0,9.2,12.2,265.9,112.2,20,165,7.9,8.0,6.6,1,1,118.47"
"6,Cincinnati Bengals,9,198,290,68.3,2379,21,7.2,11,3.8,82,8.8,8.6,12.9,264.3,104.0,25,177,7.6,7.3,7.9,1,2,56.99"
"7,Dallas Cowboys,8,203,297,68.4,2332,20,6.7,6,2.0,73,8.2,8.6,12.0,291.5,107.1,14,95,7.5,7.9,4.5,2,3,92.54"
"8,Los Angeles Chargers,8,211,320,65.9,2259,18,5.6,6,1.9,72,7.3,7.6,11.1,282.4,98.6,14,91,6.8,7.0,4.2,4,4,76.65"
"9,Buffalo Bills,8,211,322,65.5,2163,17,5.3,5,1.6,61,7.0,7.3,10.6,270.4,96.9,12,82,6.5,6.8,3.6,,,69.15"
"10,New England Patriots,9,210,307,68.4,2149,11,3.6,7,2.3,75,7.4,7.1,10.9,238.8,92.5,17,135,6.6,6.3,5.2,1,1,35.90"
"11,New York Giants,9,208,321,64.8,2148,9,2.8,7,2.2,54,7.1,6.7,11.0,238.7,86.1,20,142,6.3,5.9,5.9,1,1,28.67"
"12,Baltimore Ravens,8,178,277,64.3,2130,13,4.7,7,2.5,49,8.1,7.9,12.6,266.3,94.6,24,118,7.1,6.9,8.0,4,4,51.55"
"13,Indianapolis Colts,9,192,305,63.0,2103,17,5.6,4,1.3,76,7.3,7.8,11.6,233.7,98.0,17,120,6.5,7.0,5.3,,,72.53"
"14,Denver Broncos,9,212,306,69.3,2094,14,4.6,6,2.0,55,7.4,7.5,10.7,232.7,97.9,29,182,6.3,6.3,8.7,0,1,66.84"
"15,Minnesota Vikings,8,207,304,68.1,2082,16,5.3,2,0.7,64,7.1,7.8,10.4,260.3,103.1,10,69,6.6,7.4,3.2,1,2,78.57"
"16,Atlanta Falcons,8,209,304,68.8,2061,15,4.9,6,2.0,64,7.1,7.2,10.3,257.6,97.2,14,96,6.5,6.6,4.4,3,3,65.11"
"17,San Francisco 49ers,8,164,261,62.8,2020,11,4.2,6,2.3,83,8.1,7.9,12.9,252.5,92.6,16,88,7.3,7.1,5.8,1,1,56.14"
"18,Green Bay Packers,9,197,299,65.9,2014,18,6.0,4,1.3,59,7.2,7.8,10.9,223.8,101.5,19,138,6.3,6.9,6.0,1,2,72.97"
"19,New York Jets,8,197,314,62.7,2014,12,3.8,14,4.5,54,7.0,5.8,11.2,251.8,77.8,24,190,6.0,4.8,7.1,2,2,-9.45"
"20,Miami Dolphins,9,233,359,64.9,2001,12,3.3,9,2.5,42,6.0,5.6,9.3,222.3,82.0,23,166,5.2,4.8,6.0,,,1.62"
"21,Cleveland Browns,9,172,261,65.9,1979,9,3.4,3,1.1,71,8.1,8.3,12.3,219.9,97.6,25,143,6.9,7.1,8.7,,,37.02"
"22,Tennessee Titans,9,193,292,66.1,1961,12,4.1,8,2.7,57,7.4,7.0,11.2,217.9,90.2,27,195,6.1,5.8,8.5,3,3,38.54"
"23,Pittsburgh Steelers,8,196,300,65.3,1886,10,3.3,4,1.3,59,6.6,6.7,10.1,235.8,89.7,18,100,5.9,6.0,5.7,3,4,30.40"
"24,Philadelphia Eagles,9,170,276,61.6,1886,11,4.0,4,1.4,91,7.2,7.4,11.7,209.6,90.7,15,106,6.5,6.6,5.2,1,1,32.75"
"25,Carolina Panthers,9,185,321,57.6,1874,7,2.2,11,3.4,57,6.3,5.2,10.9,208.2,69.3,25,145,5.4,4.4,7.2,,,-28.39"
"26,Washington Football Team,8,178,280,63.6,1844,11,3.9,9,3.2,73,6.9,6.3,10.9,230.5,83.6,15,97,6.3,5.6,5.1,2,2,14.24"
"27,Houston Texans,9,195,298,65.4,1839,10,3.4,11,3.7,67,6.8,5.8,10.3,204.3,80.6,26,174,5.7,4.8,8.0,,,-9.83"
"28,Detroit Lions,8,207,310,66.8,1824,8,2.6,6,1.9,63,6.5,6.1,9.7,228.0,85.3,23,188,5.5,5.1,6.9,,,-4.63"
"29,Jacksonville Jaguars,8,178,298,59.7,1771,8,2.7,9,3.0,58,6.2,5.4,10.4,221.4,74.1,13,83,5.7,4.9,4.2,1,2,0.01"
"30,Seattle Seahawks,8,155,220,70.5,1689,15,6.8,2,0.9,84,8.6,9.6,12.2,211.1,115.7,26,209,6.9,7.7,10.6,,,49.69"
"31,New Orleans Saints,8,141,237,59.5,1533,17,7.2,4,1.7,72,6.8,7.5,11.5,191.6,97.1,13,90,6.1,6.8,5.2,1,2,33.51"
"32,Chicago Bears,9,148,237,62.4,1297,5,2.1,9,3.8,64,6.5,5.3,10.5,144.1,72.6,33,255,4.8,3.7,12.2,,,-30.32"
",Avg Team,,195.9,298.9,65.6,2061.9,13.9,4.7,6.8,2.3,67,7.3,7.3,11.2,242.6,93.4,19.3,132.7,6.48,6.4,6.1,1.3,1.5,46.8"
",League Total,,6270,9564,65.6,65982,446,4.7,216,2.3,91,7.3,7.3,11.2,242.6,93.4,617,4245,6.48,6.4,6.1,40,49,"
",Avg Tm/G,,23.1,35.2,65.6,242.6,1.6,4.7,0.8,2.3,,7.3,7.3,11.2,242.6,93.4,2.3,15.6,6.48,6.4,6.1,,,"